2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 157 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 305 , ac:d1:b8:ed:88:6b , f8:da:c:20:91:3f , IPv4 , 10.50.23.72 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:02.1522434002 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
