2018-03-17 00:07:18.1521225438 , 70 , 4c:34:88:7a:9a:bd , 48:45:20:44:0:9d , IPv4 , 10.50.22.127 , 224.0.0.252 , UDP , 62374 , 5355 
2018-03-17 00:07:18.1521225438 , 75 , 18:db:f2:4a:34:31 , 48:45:20:44:0:9d , IPv4 , 10.50.21.250 , 224.0.0.252 , UDP , 63399 , 5355 
2018-03-17 00:07:19.1521225439 , 167 , c4:b:cb:66:b9:39 , 48:45:20:44:0:9d , IPv4 , 10.50.21.167 , 239.255.255.250 , UDP , 46979 , 1900 
2018-03-17 00:07:19.1521225439 , 75 , cc:2f:71:e1:f6:36 , 48:45:20:44:0:9d , IPv4 , 10.50.20.189 , 224.0.0.252 , UDP , 52288 , 5355 
2018-03-17 00:07:19.1521225439 , 70 , 4c:34:88:7a:9a:bd , 48:45:20:44:0:9d , IPv4 , 10.50.22.127 , 224.0.0.252 , UDP , 62374 , 5355 
2018-03-17 00:07:19.1521225439 , 167 , c4:b:cb:66:b9:39 , 48:45:20:44:0:9d , IPv4 , 10.50.21.167 , 239.255.255.250 , UDP , 46979 , 1900 
2018-03-17 00:07:19.1521225439 , 75 , 18:db:f2:4a:34:31 , 48:45:20:44:0:9d , IPv4 , 10.50.21.250 , 224.0.0.252 , UDP , 63399 , 5355 
2018-03-17 00:07:19.1521225439 , 75 , cc:2f:71:e1:f6:36 , 48:45:20:44:0:9d , IPv4 , 10.50.20.189 , 224.0.0.252 , UDP , 52288 , 5355 
2018-03-17 00:07:19.1521225439 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:19.1521225439 , 110 , d0:df:9a:d8:a9:75 , 48:45:20:44:0:9d , IPv4 , 10.50.22.78 , 10.50.23.255 , UDP , 137 , 137 
2018-03-17 00:07:19.1521225439 , 110 , d0:df:9a:d8:a9:75 , 48:45:20:44:0:9d , IPv4 , 10.50.22.78 , 10.50.23.255 , UDP , 137 , 137 
2018-03-17 00:07:19.1521225439 , 110 , d0:df:9a:d8:a9:75 , 48:45:20:44:0:9d , IPv4 , 10.50.22.78 , 10.50.23.255 , UDP , 137 , 137 
2018-03-17 00:07:19.1521225439 , 103 , e4:5d:75:65:4a:87 , 48:45:20:44:0:9d , IPv4 , 10.50.22.217 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:19.1521225439 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:19.1521225439 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 10.10.54.4 , TCP , 42012 , 8090 
2018-03-17 00:07:19.1521225439 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.10.54.4 , 10.50.23.79 , TCP , 8090 , 42012 
2018-03-17 00:07:20.1521225440 , 75 , 18:db:f2:4a:34:31 , 48:45:20:44:0:9d , IPv4 , 10.50.21.250 , 224.0.0.252 , UDP , 60085 , 5355 
2018-03-17 00:07:20.1521225440 , 170 , ac:ed:5c:4b:81:2e , 48:45:20:44:0:9d , IPv4 , 10.50.23.116 , 10.50.23.255 , UDP , 63151 , 50007 
2018-03-17 00:07:20.1521225440 , 75 , cc:2f:71:e1:f6:36 , 48:45:20:44:0:9d , IPv4 , 10.50.20.189 , 224.0.0.252 , UDP , 51437 , 5355 
2018-03-17 00:07:30.1521225450 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:31.1521225451 , 216 , f8:da:c:53:17:21 , 48:45:20:44:0:9d , IPv4 , 10.50.21.177 , 239.255.255.250 , UDP , 53862 , 1900 
2018-03-17 00:07:31.1521225451 , 209 , 34:f6:4b:a1:e2:e4 , 48:45:20:44:0:9d , IPv4 , 10.50.22.61 , 239.255.255.250 , UDP , 53267 , 1900 
2018-03-17 00:07:31.1521225451 , 174 , ac:ed:5c:4b:81:2e , 48:45:20:44:0:9d , IPv4 , 10.50.23.116 , 239.255.255.250 , UDP , 49231 , 1900 
2018-03-17 00:07:31.1521225451 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:31.1521225451 , 179 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 61824 , 1900 
2018-03-17 00:07:31.1521225451 , 176 , ec:8e:b5:53:80:78 , 48:45:20:44:0:9d , IPv4 , 10.50.21.111 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:31.1521225451 , 176 , ec:8e:b5:53:80:78 , 48:45:20:44:0:9d , IPv4 , 10.50.21.111 , 10.50.23.255 , UDP , 17500 , 17500 
2018-03-17 00:07:31.1521225451 , 176 , ec:8e:b5:53:80:78 , 48:45:20:44:0:9d , IPv4 , 10.50.21.111 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:31.1521225451 , 176 , ec:8e:b5:53:80:78 , 48:45:20:44:0:9d , IPv4 , 10.50.21.111 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:31.1521225451 , 176 , ec:8e:b5:53:80:78 , 48:45:20:44:0:9d , IPv4 , 10.50.21.111 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:31.1521225451 , 216 , 6a:10:6c:0:8f:d9 , 48:45:20:44:0:9d , IPv4 , 10.50.20.176 , 239.255.255.250 , UDP , 59312 , 1900 
2018-03-17 00:07:31.1521225451 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:31.1521225451 , 179 , 28:56:5a:a0:34:95 , 48:45:20:44:0:9d , IPv4 , 10.50.23.186 , 239.255.255.250 , UDP , 59657 , 1900 
2018-03-17 00:07:31.1521225451 , 666 , b8:70:f4:36:94:c , 48:45:20:44:0:9d , IPv4 , 10.50.20.207 , 239.255.255.250 , UDP , 49876 , 3702 
2018-03-17 00:07:32.1521225452 , 216 , f8:da:c:53:17:21 , 48:45:20:44:0:9d , IPv4 , 10.50.21.177 , 239.255.255.250 , UDP , 53862 , 1900 
2018-03-17 00:07:32.1521225452 , 216 , ac:d1:b8:c1:39:a7 , 48:45:20:44:0:9d , IPv4 , 10.50.21.219 , 239.255.255.250 , UDP , 51348 , 1900 
2018-03-17 00:07:32.1521225452 , 209 , 34:f6:4b:a1:e2:e4 , 48:45:20:44:0:9d , IPv4 , 10.50.22.61 , 239.255.255.250 , UDP , 53267 , 1900 
2018-03-17 00:07:32.1521225452 , 175 , a4:5d:36:71:62:29 , 48:45:20:44:0:9d , IPv4 , 10.50.23.45 , 239.255.255.250 , UDP , 55526 , 1900 
2018-03-17 00:07:32.1521225452 , 67 , 70:1c:e7:f3:53:6d , 48:45:20:44:0:9d , IPv4 , 10.50.21.71 , 224.0.0.252 , UDP , 58694 , 5355 
2018-03-17 00:07:32.1521225452 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:32.1521225452 , 216 , 6a:10:6c:0:8f:d9 , 48:45:20:44:0:9d , IPv4 , 10.50.20.176 , 239.255.255.250 , UDP , 59312 , 1900 
2018-03-17 00:07:32.1521225452 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:32.1521225452 , 216 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 50564 , 1900 
2018-03-17 00:07:32.1521225452 , 67 , 70:1c:e7:f3:53:6d , 48:45:20:44:0:9d , IPv4 , 10.50.21.71 , 224.0.0.252 , UDP , 58694 , 5355 
2018-03-17 00:07:33.1521225453 , 216 , ac:d1:b8:c1:39:a7 , 48:45:20:44:0:9d , IPv4 , 10.50.21.219 , 239.255.255.250 , UDP , 51348 , 1900 
2018-03-17 00:07:33.1521225453 , 209 , 34:f6:4b:a1:e2:e4 , 48:45:20:44:0:9d , IPv4 , 10.50.22.61 , 239.255.255.250 , UDP , 53267 , 1900 
2018-03-17 00:07:33.1521225453 , 316 , 30:8d:99:1a:e4:e6 , 48:45:20:44:0:9d , IPv4 , 10.50.21.28 , 239.255.255.250 , UDP , 64557 , 1900 
2018-03-17 00:07:33.1521225453 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
