146 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.32 , 10.50.23.79 , UDP , 53 , 53363 
158 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.32 , 10.50.23.79 , UDP , 53 , 53363 
60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
100 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.23.226 , TCP , 54454 , 443 
85 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.23.226 , TCP , 54454 , 443 
60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.23.226 , 10.50.23.79 , TCP , 443 , 54454 
60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.23.226 , 10.50.23.79 , TCP , 443 , 54454 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.23.226 , TCP , 54454 , 443 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
170 , f4:8e:38:f3:d7:bc , 48:45:20:44:0:9d , IPv4 , 10.50.23.23 , 10.50.23.255 , UDP , 58761 , 50007 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
