2018-03-30 23:59:54.1522434594 , 77 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.101 , UDP , 56035 , 53 
2018-03-30 23:59:54.1522434594 , 77 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.32 , UDP , 56035 , 53 
2018-03-30 23:59:54.1522434594 , 77 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.3.0.205 , UDP , 56035 , 53 
2018-03-30 23:59:54.1522434594 , 77 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.20.1.21 , UDP , 56035 , 53 
2018-03-30 23:59:54.1522434594 , 77 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.20.1.22 , UDP , 56035 , 53 
2018-03-30 23:59:54.1522434594 , 77 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 10.20.1.21 , UDP , 56035 , 53 
2018-03-30 23:59:54.1522434594 , 74 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 171.64.74.58 , TCP , 39544 , 80 
2018-03-30 23:59:54.1522434594 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 171.64.74.58 , TCP , 39544 , 80 
2018-03-30 23:59:54.1522434594 , 562 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 171.64.74.58 , TCP , 39544 , 80 
2018-03-30 23:59:54.1522434594 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 171.64.74.58 , TCP , 39544 , 80 
2018-03-30 23:59:54.1522434594 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 171.64.74.58 , TCP , 39544 , 80 
2018-03-30 23:59:54.1522434594 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.20.175 , 171.64.74.58 , TCP , 39544 , 80 
